constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
dissensus,0.6219604042117243,0.4329406063175864,0.3333333333333333,45,999,3,3,9,1000
majority,0.684922102339436,0.5273831535091539,0.7193877551020408,196,999,3,3,9,1000
minority,0.6103394786767079,0.41550921801506185,0.23469387755102042,196,999,3,3,9,1000
consensus,0.7321762124242427,0.5982643186363642,0.972972972972973,111,999,3,3,10,1000
dissensus,0.6207373384903703,0.4311060077355554,0.3333333333333333,37,999,3,3,10,1000
majority,0.6902606810417933,0.5353910215626898,0.7297297297297297,185,999,3,3,10,1000
minority,0.5745566989865725,0.3618350484798587,0.22702702702702704,185,999,3,3,10,1000
consensus,0.7023068898297542,0.5534603347446312,0.968421052631579,95,999,3,3,11,1000
dissensus,0.6031816335500922,0.4047724503251384,0.3333333333333333,42,999,3,3,11,1000
majority,0.6859641570742813,0.528946235611422,0.7602040816326531,196,999,3,3,11,1000
minority,0.5916973867162201,0.38754608007433006,0.20918367346938777,196,999,3,3,11,1000
consensus,0.7087804347530778,0.5631706521296168,0.9702970297029703,101,999,3,3,12,1000
dissensus,0.6007592121901857,0.40113881828527853,0.3333333333333333,27,999,3,3,12,1000
majority,0.6842145695737223,0.5263218543605834,0.7463414634146341,205,999,3,3,12,1000
minority,0.5802236975753695,0.37033554636305427,0.16585365853658537,205,999,3,3,12,1000
consensus,0.7146381856133037,0.5719572784199556,1,102,999,3,3,13,1000
dissensus,0.6286973875622872,0.4430460813434308,0.3333333333333333,37,999,3,3,13,1000
majority,0.6829635225087597,0.5244452837631396,0.7577319587628866,194,999,3,3,13,1000
minority,0.5968558873342754,0.395283831001413,0.18041237113402062,194,999,3,3,13,1000
consensus,0.7079902444418597,0.5619853666627894,0.9805825242718447,103,999,3,3,14,1000
dissensus,0.6113314348850291,0.4169971523275436,0.3333333333333333,38,999,3,3,14,1000
majority,0.6748213468805868,0.5122320203208801,0.6979166666666666,192,999,3,3,14,1000
minority,0.574491090816284,0.361736636224426,0.23958333333333334,192,999,3,3,14,1000
consensus,0.7090785509183343,0.5636178263775014,0.9807692307692307,104,999,3,3,15,1000
dissensus,0.6267328138684943,0.4400992208027414,0.3333333333333333,35,999,3,3,15,1000
majority,0.6867377047176566,0.5301065570764849,0.7525773195876289,194,999,3,3,15,1000
minority,0.5861730046155846,0.379259506923377,0.18041237113402062,194,999,3,3,15,1000
consensus,0.7144359667924455,0.5716539501886682,0.9803921568627451,102,999,3,3,16,1000
dissensus,0.5906251292043959,0.38593769380659393,0.3333333333333333,38,999,3,3,16,1000
majority,0.6904017797418724,0.5356026696128086,0.8186528497409327,193,999,3,3,16,1000
minority,0.5748127487999595,0.3622191231999392,0.15544041450777202,193,999,3,3,16,1000
consensus,0.7154514480283898,0.5731771720425847,0.99,100,999,3,3,17,1000
dissensus,0.6417088451363692,0.46256326770455375,0.3333333333333333,41,999,3,3,17,1000
majority,0.7063369794199793,0.559505469129969,0.8177083333333334,192,999,3,3,17,1000
minority,0.5860766319100448,0.37911494786506716,0.14583333333333334,192,999,3,3,17,1000
consensus,0.718974025283683,0.5784610379255245,0.979381443298969,97,999,3,3,18,1000
dissensus,0.6035437580635338,0.4053156370953006,0.3333333333333333,31,999,3,3,18,1000
majority,0.6904623195237473,0.5356934792856208,0.7268292682926829,205,999,3,3,18,1000
minority,0.6025374645147685,0.40380619677215274,0.2,205,999,3,3,18,1000
consensus,0.7199012854635932,0.5798519281953898,0.9826086956521739,115,999,3,3,19,1000
dissensus,0.597708285057969,0.3965624275869535,0.3333333333333333,40,999,3,3,19,1000
majority,0.6838148489157575,0.5257222733736363,0.7528089887640449,178,999,3,3,19,1000
