constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
minority,0.592517724587931,0.38877658688189637,0.17525773195876287,194,999,3,3,23,100
consensus,0.735100883081523,0.6026513246222843,0.9705882352941176,102,999,3,3,24,100
dissensus,0.6256960935725666,0.43854414035884987,0.3333333333333333,37,999,3,3,24,100
majority,0.6812225519891515,0.5218338279837272,0.7474226804123711,194,999,3,3,24,100
minority,0.578333269219039,0.36749990382855857,0.17525773195876287,194,999,3,3,24,100
consensus,0.7188349835195933,0.5782524752793899,0.9787234042553191,94,999,3,3,25,100
dissensus,0.5986212029964442,0.3979318044946662,0.3333333333333333,35,999,3,3,25,100
majority,0.6889791247409044,0.5334686871113566,0.7843137254901961,204,999,3,3,25,100
minority,0.5823660307964067,0.37354904619461,0.16666666666666666,204,999,3,3,25,100
consensus,0.7116268983487278,0.5674403475230917,1,94,999,3,3,26,100
dissensus,0.6138241892828356,0.4207362839242532,0.3333333333333333,35,999,3,3,26,100
majority,0.6802431127411052,0.5203646691116578,0.7303921568627451,204,999,3,3,26,100
minority,0.576805275326193,0.36520791298928945,0.2107843137254902,204,999,3,3,26,100
consensus,0.7319391351974797,0.5979087027962195,0.9893617021276596,94,999,3,3,27,100
dissensus,0.6259055318509195,0.43885829777637914,0.3333333333333333,36,999,3,3,27,100
majority,0.6955133900053996,0.5432700850080993,0.7438423645320197,203,999,3,3,27,100
minority,0.5861356149753326,0.379203422462999,0.21674876847290642,203,999,3,3,27,100
consensus,0.7181549205379937,0.5772323808069905,0.967032967032967,91,999,3,3,28,100
dissensus,0.6014621015057997,0.40219315225869945,0.3333333333333333,33,999,3,3,28,100
majority,0.6968528931322501,0.545279339698375,0.7368421052631579,209,999,3,3,28,100
minority,0.5742681350527804,0.36140220257917055,0.19138755980861244,209,999,3,3,28,100
consensus,0.7051372792065275,0.5577059188097911,0.9578947368421052,95,999,3,3,29,100
dissensus,0.6213281974015945,0.4319922961023918,0.3333333333333333,43,999,3,3,29,100
majority,0.6662851814694034,0.49942777220410517,0.764102564102564,195,999,3,3,29,100
minority,0.5843618695098811,0.37654280426482173,0.17435897435897435,195,999,3,3,29,100
consensus,0.7182154733170238,0.5773232099755358,1,100,999,3,3,30,100
dissensus,0.5986240102332019,0.39793601534980283,0.3333333333333333,31,999,3,3,30,100
majority,0.6717484187874205,0.5076226281811309,0.7376237623762376,202,999,3,3,30,100
minority,0.591368386695598,0.38705258004339693,0.21287128712871287,202,999,3,3,30,100
consensus,0.7149501168751158,0.5724251753126737,0.9732142857142857,112,999,3,3,31,100
dissensus,0.6074393486497479,0.4111590229746218,0.3333333333333333,33,999,3,3,31,100
majority,0.6700285758050357,0.5050428637075536,0.776595744680851,188,999,3,3,31,100
minority,0.5951910204359773,0.3927865306539659,0.1702127659574468,188,999,3,3,31,100
consensus,0.712479055292036,0.568718582938054,0.9901960784313726,102,999,3,3,32,100
dissensus,0.611046166342767,0.4165692495141504,0.3333333333333333,42,999,3,3,32,100
majority,0.6897484169775255,0.5346226254662884,0.7724867724867724,189,999,3,3,32,100
minority,0.5700759555457893,0.35511393331868385,0.14814814814814814,189,999,3,3,32,100
consensus,0.7098509948931649,0.5647764923397475,0.9821428571428571,112,999,3,3,33,100
dissensus,0.6093048581474081,0.41395728722111225,0.3333333333333333,39,999,3,3,33,100
majority,0.6909145589051393,0.536371838357709,0.7472527472527473,182,999,3,3,33,100
minority,0.5688441734413033,0.35326626016195495,0.17582417582417584,182,999,3,3,33,100
consensus,0.7345801930605337,0.6018702895908005,0.9611650485436893,103,999,3,3,34,100
dissensus,0.6056466160423627,0.4084699240635441,0.3333333333333333,33,999,3,3,34,100
majority,0.6695447202067502,0.5043170803101251,0.766497461928934,197,999,3,3,34,100
minority,0.5758248315769517,0.3637372473654276,0.19796954314720813,197,999,3,3,34,100
consensus,0.7113559492433401,0.5670339238650102,0.9603960396039604,101,999,3,3,35,100
dissensus,0.6020588221227018,0.4030882331840526,0.3333333333333333,37,999,3,3,35,100
majority,0.6957482266200022,0.5436223399300033,0.764102564102564,195,999,3,3,35,100
minority,0.5846279337986285,0.37694190069794276,0.19487179487179487,195,999,3,3,35,100
consensus,0.7022488201516327,0.553373230227449,0.9263157894736842,95,999,3,3,36,100
dissensus,0.5960265559751989,0.3940398339627984,0.3333333333333333,47,999,3,3,36,100
majority,0.6726503610406982,0.5089755415610472,0.6858638743455497,191,999,3,3,36,100
minority,0.5941766830531793,0.3912650245797689,0.25654450261780104,191,999,3,3,36,100
consensus,0.7146825676301012,0.5720238514451518,0.95,120,999,3,3,37,100
dissensus,0.6182679237158161,0.42740188557372405,0.3333333333333333,33,999,3,3,37,100
majority,0.6805812452816301,0.5208718679224452,0.7388888888888889,180,999,3,3,37,100
minority,0.5726960742785768,0.35904411141786524,0.2,180,999,3,3,37,100
consensus,0.7224318691149906,0.5836478036724859,0.9809523809523809,105,999,3,3,38,100
dissensus,0.6093148842727679,0.4139723264091518,0.3333333333333333,31,999,3,3,38,100
majority,0.6699867621659067,0.50498014324886,0.7563451776649747,197,999,3,3,38,100
minority,0.6008516249456483,0.40127743741847227,0.19796954314720813,197,999,3,3,38,100
consensus,0.6997082680390531,0.5495624020585796,0.9557522123893806,113,999,3,3,39,100
dissensus,0.6243727260442805,0.4365590890664207,0.3333333333333333,31,999,3,3,39,100
majority,0.6967113428269521,0.5450670142404282,0.8571428571428571,189,999,3,3,39,100
minority,0.5775884538272977,0.3663826807409466,0.13227513227513227,189,999,3,3,39,100
consensus,0.7219771512022745,0.5829657268034117,0.9489795918367347,98,999,3,3,40,100
dissensus,0.6243346331725985,0.43650194975889783,0.3333333333333333,39,999,3,3,40,100
majority,0.689810015386696,0.5347150230800438,0.7653061224489796,196,999,3,3,40,100
minority,0.5883394282265269,0.3825091423397903,0.20918367346938777,196,999,3,3,40,100
consensus,0.7201582749571026,0.580237412435654,1,102,999,3,3,41,100
dissensus,0.5989838260937379,0.3984757391406068,0.3333333333333333,40,999,3,3,41,100
majority,0.6833255231997282,0.5249882847995923,0.7853403141361257,191,999,3,3,41,100
minority,0.5767054107417247,0.3650581161125871,0.17801047120418848,191,999,3,3,41,100
consensus,0.7251932328695506,0.5877898493043259,0.9514563106796117,103,999,3,3,42,100
dissensus,0.5963287682381022,0.3944931523571533,0.3333333333333333,41,999,3,3,42,100
majority,0.6972617007125944,0.5458925510688917,0.7619047619047619,189,999,3,3,42,100
minority,0.589856037138296,0.38478405570744406,0.19047619047619047,189,999,3,3,42,100
consensus,0.7135971489593665,0.5703957234390499,0.9897959183673469,98,999,3,3,43,100
dissensus,0.5794559067989763,0.36918386019846444,0.3333333333333333,31,999,3,3,43,100
majority,0.6791379856454739,0.5187069784682108,0.696078431372549,204,999,3,3,43,100
minority,0.5938390309403474,0.3907585464105211,0.22058823529411764,204,999,3,3,43,100
consensus,0.7149586027308329,0.5724379040962493,0.9494949494949495,99,999,3,3,44,100
dissensus,0.6372730021187593,0.45590950317813883,0.3333333333333333,35,999,3,3,44,100
majority,0.6848210885116934,0.52723163276754,0.7688442211055276,199,999,3,3,44,100
minority,0.6262239885635026,0.43933598284525377,0.20603015075376885,199,999,3,3,44,100
consensus,0.7065462600245066,0.55981939003676,0.978494623655914,93,999,3,3,45,100
dissensus,0.6048712493598829,0.4073068740398244,0.3333333333333333,45,999,3,3,45,100
majority,0.7041916772567978,0.5562875158851966,0.841025641025641,195,999,3,3,45,100
minority,0.5873247729120856,0.3809871593681284,0.11282051282051282,195,999,3,3,45,100
consensus,0.7102702386331285,0.5654053579496929,0.9696969696969697,99,999,3,3,46,100
dissensus,0.5853534171069946,0.378030125660492,0.3333333333333333,32,999,3,3,46,100
majority,0.6808075931387348,0.5212113897081022,0.7079207920792079,202,999,3,3,46,100
minority,0.6045953899586617,0.4068930849379925,0.22772277227722773,202,999,3,3,46,100
consensus,0.729401548613336,0.5941023229200039,0.9428571428571428,105,999,3,3,47,100
dissensus,0.6427374769268291,0.4641062153902437,0.3333333333333333,35,999,3,3,47,100
majority,0.6841311563974141,0.5261967345961212,0.7772020725388601,193,999,3,3,47,100
minority,0.5711784310637297,0.3567676465955944,0.16580310880829016,193,999,3,3,47,100
consensus,0.7115148778378182,0.5672723167567273,0.9888888888888889,90,999,3,3,48,100
dissensus,0.6193623619226082,0.42904354288391233,0.3333333333333333,46,999,3,3,48,100
majority,0.6842825580029803,0.5264238370044705,0.766497461928934,197,999,3,3,48,100
minority,0.5766591914549671,0.36498878718245076,0.20304568527918782,197,999,3,3,48,100
consensus,0.7105305614828274,0.5657958422242412,0.9534883720930233,86,999,3,3,49,100
dissensus,0.623656587383457,0.4354848810751854,0.3333333333333333,36,999,3,3,49,100
majority,0.6728213102873827,0.5092319654310741,0.7630331753554502,211,999,3,3,49,100
minority,0.568634257618026,0.352951386427039,0.15639810426540285,211,999,3,3,49,100
consensus,0.7410992181766779,0.6116488272650169,0.98,100,999,3,3,50,100
dissensus,0.5877359377950229,0.3816039066925343,0.3333333333333333,37,999,3,3,50,100
majority,0.6642413771585371,0.49636206573780567,0.7295918367346939,196,999,3,3,50,100
minority,0.5982406805918812,0.39736102088782177,0.21428571428571427,196,999,3,3,50,100
consensus,0.70906991333511,0.5636048700026651,0.9722222222222222,108,999,3,3,51,100
dissensus,0.5919838868507523,0.38797583027612853,0.3333333333333333,43,999,3,3,51,100
majority,0.6874714801109297,0.5312072201663945,0.7692307692307693,182,999,3,3,51,100
minority,0.6146972584580805,0.42204588768712076,0.19230769230769232,182,999,3,3,51,100
consensus,0.72432318231148,0.5864847734672199,0.9396551724137931,116,999,3,3,52,100
dissensus,0.5829834849152531,0.3744752273728797,0.3333333333333333,43,999,3,3,52,100
majority,0.6974099604970458,0.5461149407455688,0.7873563218390804,174,999,3,3,52,100
minority,0.5950647733937878,0.39259716009068163,0.14367816091954022,174,999,3,3,52,100
consensus,0.7124133121631131,0.5686199682446696,0.926829268292683,82,999,3,3,53,100
dissensus,0.6125686582850499,0.41885298742757493,0.3333333333333333,32,999,3,3,53,100
majority,0.6957790854817917,0.5436686282226877,0.7671232876712328,219,999,3,3,53,100
minority,0.5892954320190376,0.3839431480285563,0.1872146118721461,219,999,3,3,53,100
consensus,0.7250770967744449,0.5876156451616673,0.9714285714285714,105,999,3,3,54,100
dissensus,0.6381826565518757,0.45727398482781345,0.3333333333333333,34,999,3,3,54,100
majority,0.6735573635277374,0.510336045291606,0.7577319587628866,194,999,3,3,54,100
minority,0.5953085517144324,0.3929628275716486,0.21649484536082475,194,999,3,3,54,100
consensus,0.7286384109549269,0.5929576164323902,0.9789473684210527,95,999,3,3,55,100
dissensus,0.597668304500054,0.39650245675008106,0.3333333333333333,33,999,3,3,55,100
majority,0.6866556041540836,0.5299834062311254,0.751219512195122,205,999,3,3,55,100
minority,0.5913624690141438,0.3870437035212157,0.1902439024390244,205,999,3,3,55,100
consensus,0.7012781611554758,0.5519172417332138,0.9532710280373832,107,999,3,3,56,100
dissensus,0.6398358586039848,0.4597537879059773,0.3333333333333333,41,999,3,3,56,100
majority,0.6812722903093206,0.5219084354639808,0.7243243243243244,185,999,3,3,56,100
minority,0.5916569031707876,0.38748535475618134,0.2,185,999,3,3,56,100
consensus,0.7193931963921121,0.5790897945881681,0.9646017699115044,113,999,3,3,57,100
dissensus,0.6095111718191699,0.4142667577287548,0.3333333333333333,39,999,3,3,57,100
majority,0.6815786502666216,0.5223679753999324,0.7513812154696132,181,999,3,3,57,100
minority,0.5870199943858355,0.3805299915787533,0.17679558011049723,181,999,3,3,57,100
consensus,0.7156148704787314,0.573422305718097,0.968421052631579,95,999,3,3,58,100
dissensus,0.6407731754879933,0.46115976323199,0.3333333333333333,32,999,3,3,58,100
majority,0.6778039084495012,0.5167058626742519,0.7475728155339806,206,999,3,3,58,100
minority,0.5988550931456406,0.3982826397184609,0.20388349514563106,206,999,3,3,58,100
consensus,0.7304776872455205,0.5957165308682809,0.9917355371900827,121,999,3,3,59,100
dissensus,0.6485052325163336,0.4727578487745005,0.3333333333333333,29,999,3,3,59,100
majority,0.6596544863069209,0.4894817294603814,0.6885245901639344,183,999,3,3,59,100
minority,0.5967549100731973,0.39513236510979594,0.24043715846994534,183,999,3,3,59,100
consensus,0.699326454652464,0.5489896819786961,0.954954954954955,111,999,3,3,60,100
dissensus,0.6318922793768622,0.44783841906529337,0.3333333333333333,33,999,3,3,60,100
majority,0.6866986700017466,0.5300480050026198,0.7671957671957672,189,999,3,3,60,100
minority,0.5917784400913385,0.38766766013700776,0.18518518518518517,189,999,3,3,60,100
consensus,0.7230604753850468,0.5845907130775702,0.9775280898876404,89,999,3,3,61,100
dissensus,0.5827518289771456,0.3741277434657185,0.3333333333333333,52,999,3,3,61,100
majority,0.6691912867059324,0.5037869300588986,0.703125,192,999,3,3,61,100
minority,0.5951061854195562,0.3926592781293342,0.23958333333333334,192,999,3,3,61,100
consensus,0.7314609331573976,0.5971913997360963,0.956989247311828,93,999,3,3,62,100
dissensus,0.5835714528691911,0.3753571793037866,0.3333333333333333,35,999,3,3,62,100
majority,0.6788051946296895,0.5182077919445341,0.7463414634146341,205,999,3,3,62,100
minority,0.5870749471277544,0.3806124206916316,0.1902439024390244,205,999,3,3,62,100
consensus,0.7082657328133674,0.5623985992200511,0.9696969696969697,99,999,3,3,63,100
dissensus,0.6119932652493552,0.41798989787403273,0.3333333333333333,39,999,3,3,63,100
majority,0.6631309504807792,0.49469642572116873,0.7076923076923077,195,999,3,3,63,100
minority,0.5801476513314197,0.3702214769971295,0.2153846153846154,195,999,3,3,63,100
consensus,0.7009739132511632,0.5514608698767447,0.9587628865979382,97,999,3,3,64,100
dissensus,0.6150578281092571,0.4225867421638857,0.3333333333333333,41,999,3,3,64,100
majority,0.697740933049518,0.5466113995742768,0.7589743589743589,195,999,3,3,64,100
minority,0.5896856186473662,0.3845284279710494,0.21025641025641026,195,999,3,3,64,100
consensus,0.687233932065442,0.530850898098163,0.98989898989899,99,999,3,3,65,100
dissensus,0.6182688398205171,0.4274032597307756,0.3333333333333333,33,999,3,3,65,100
majority,0.6794086430263497,0.5191129645395246,0.7910447761194029,201,999,3,3,65,100
minority,0.586911439867057,0.3803671598005855,0.17412935323383086,201,999,3,3,65,100
consensus,0.7193065479211932,0.5789598218817898,0.9897959183673469,98,999,3,3,66,100
dissensus,0.6289110702403363,0.44336660536050443,0.3333333333333333,35,999,3,3,66,100
majority,0.6720873589627445,0.5081310384441168,0.725,200,999,3,3,66,100
minority,0.5742569459082248,0.36138541886233727,0.225,200,999,3,3,66,100
consensus,0.7185819243300546,0.5778728864950818,0.9591836734693877,98,999,3,3,67,100
dissensus,0.6296387953384791,0.44445819300771866,0.3333333333333333,45,999,3,3,67,100
majority,0.6799116063740497,0.5198674095610745,0.7473684210526316,190,999,3,3,67,100
minority,0.6174374270432612,0.42615614056489187,0.20526315789473684,190,999,3,3,67,100
consensus,0.725742035785663,0.5886130536784945,0.9652173913043478,115,999,3,3,68,100
dissensus,0.6169641065478653,0.42544615982179784,0.3333333333333333,43,999,3,3,68,100
majority,0.6868675723800525,0.5303013585700788,0.7714285714285715,175,999,3,3,68,100
minority,0.5814384266334985,0.37215763995024775,0.17142857142857143,175,999,3,3,68,100
consensus,0.7185104440895751,0.5777656661343626,0.9716981132075472,106,999,3,3,69,100
dissensus,0.6001852142141649,0.40027782132124734,0.3333333333333333,33,999,3,3,69,100
majority,0.6780253192569894,0.5170379788854842,0.7164948453608248,194,999,3,3,69,100
minority,0.5830290421173041,0.3745435631759561,0.21649484536082475,194,999,3,3,69,100
consensus,0.7165538560130704,0.5748307840196056,0.9894736842105263,95,999,3,3,70,100
dissensus,0.5972560498868272,0.3958840748302408,0.3333333333333333,43,999,3,3,70,100
majority,0.6744063031258715,0.5116094546888073,0.7692307692307693,195,999,3,3,70,100
minority,0.6054751420306026,0.4082127130459039,0.17435897435897435,195,999,3,3,70,100
consensus,0.7148082734625475,0.5722124101938213,0.9622641509433962,106,999,3,3,71,100
dissensus,0.6263244294975367,0.43948664424630507,0.3333333333333333,40,999,3,3,71,100
majority,0.6755180523524131,0.5132770785286196,0.7219251336898396,187,999,3,3,71,100
minority,0.5929643713583616,0.38944655703754233,0.23529411764705882,187,999,3,3,71,100
consensus,0.7404515270073959,0.6106772905110938,0.9651162790697675,86,999,3,3,72,100
dissensus,0.614629370469515,0.4219440557042726,0.3333333333333333,39,999,3,3,72,100
majority,0.6872362690382243,0.5308544035573365,0.75,208,999,3,3,72,100
minority,0.5766080743021285,0.3649121114531926,0.1875,208,999,3,3,72,100
consensus,0.7366717026447472,0.6050075539671209,0.9652173913043478,115,999,3,3,73,100
dissensus,0.5963122404646128,0.39446836069691926,0.3333333333333333,36,999,3,3,73,100
majority,0.6733411341434816,0.5100117012152223,0.7472527472527473,182,999,3,3,73,100
minority,0.5924857619266288,0.3887286428899433,0.19230769230769232,182,999,3,3,73,100
consensus,0.7150860189793757,0.5726290284690636,0.9553571428571429,112,999,3,3,74,100
dissensus,0.6043260746305156,0.40648911194577336,0.3333333333333333,26,999,3,3,74,100
majority,0.6701992877142138,0.5052989315713207,0.7076923076923077,195,999,3,3,74,100
minority,0.5915208214352656,0.38728123215289834,0.24102564102564103,195,999,3,3,74,100
consensus,0.7003370645650803,0.5505055968476205,0.9705882352941176,102,999,3,3,75,100
dissensus,0.6272235746403444,0.44083536196051654,0.3333333333333333,45,999,3,3,75,100
majority,0.6769753210313325,0.5154629815469987,0.6774193548387096,186,999,3,3,75,100
minority,0.576200266495534,0.36430039974330103,0.25268817204301075,186,999,3,3,75,100
consensus,0.7122145017093755,0.5683217525640633,0.9791666666666666,96,999,3,3,76,100
dissensus,0.6266121533381838,0.43991823000727565,0.3333333333333333,44,999,3,3,76,100
majority,0.6862245924293912,0.5293368886440867,0.7875647668393783,193,999,3,3,76,100
minority,0.5957616292638303,0.3936424438957453,0.17616580310880828,193,999,3,3,76,100
consensus,0.7118411464362341,0.5677617196543511,0.9745762711864406,118,999,3,3,77,100
dissensus,0.6282330231520613,0.44234953472809196,0.3333333333333333,23,999,3,3,77,100
